ID	Group	ENSG00000011465	ENSG00000057149	ENSG00000065618	ENSG00000083720	ENSG00000095139	ENSG00000104413	ENSG00000105185	ENSG00000110917	ENSG00000112511	ENSG00000116299	ENSG00000119888	ENSG00000143771	ENSG00000160180	ENSG00000166145	ENSG00000198125
184A1	Normal-like	0	2.039322806	8.505477779	5.199763202	5.980137672	5.659198882	7.047573961	4.524903381	3.148845742	0.971022478	2.733509836	5.989013303	0	7.008835409	0
184B5	Normal-like	0.454356415	2.274744195	9.134248217	3.975563207	4.938757872	5.836265813	6.540624092	4.338774201	3.973674523	0.765308606	4.037023694	6.154826888	0.111089056	7.84948375	0.971022478
21MT1	Basal	0	0.774070499	0.713914301	3.253807839	5.641512468	5.35615304	6.480209609	5.426651932	4.182265222	0.546165314	7.050554139	5.337561547	1.310616287	7.618438324	2.887544756
21NT	Basal	0.137504157	2.370448295	0.344851962	3.702386489	5.797871117	5.531552426	6.560437396	5.544307593	4.923216811	0.695850188	7.025720581	5.684752658	0.565594295	7.740913236	2.362145298
21PT	Basal	0	1.400759777	0.286974965	3.727587388	5.88452779	5.443308084	6.519822902	5.675906226	4.817478309	0.411447302	6.875789138	5.451147641	1.063528339	7.77577179	2.75524536
600MPE	Luminal	0	0	0.263166691	5.161704072	5.294528018	6.418830384	6.587189389	5.865811035	5.000970786	6.277366959	8.207277495	6.410912425	6.472288233	6.866856401	3.702386489
AU565	Luminal	0	0.056656847	0.226562273	0.356145768	5.305283691	3.522276899	6.213116772	4.95916297	4.694592103	6.507937801	6.651610867	5.102226353	4.234661928	8.925598369	7.080358154
BT474	Luminal	0	0	1.520780522	6.481199811	6.112362804	6.851969436	6.258582692	6.043269671	3.580574741	6.843037818	7.57961434	5.331691647	8.753927039	6.883729697	6.307031996
BT483	Luminal	0	0	0.274942543	4.182265222	5.720147717	6.699199933	5.533514618	6.307031996	4.581704462	6.433677766	6.785488809	5.622847672	10.00822628	8.075686665	4.680101515
BT549	Claudin-low	6.913509685	0	0.070318199	5.332669927	6.489121672	0.250849421	7.684151034	5.418815122	4.891179127	0.68714462	0	5.779171895	0	0.333445016	0.622746306
CAMA1	Luminal	0	0	0	2.485161616	5.253477834	6.272423458	6.806323438	4.979576424	5.257386207	7.975025935	6.954216254	5.103200888	4.015258933	7.292077255	4.921274527
EFM192A	Luminal	0	0	0.926202322	2.074068374	4.581704462	5.113921909	7.24733243	5.692616941	5.471730604	5.608115387	6.730933413	4.738094222	6.202246999	8.640167449	6.903582518
EFM192B	Luminal	0	0	3.30202642	3.240190313	4.290972534	5.344410432	7.007842206	5.40804096	3.977452037	5.850052424	6.210152191	5.07105037	6.054124271	7.799676754	6.587189389
EFM192C	Luminal	0	0	0.622746306	3.355888658	4.469151013	6.153839173	6.294176301	5.713264185	4.271872456	6.823191305	6.147913059	5.164630813	10.56183537	8.179361198	6.895641147
HCC1143	Basal	0.124247556	0	3.152451622	4.795197573	5.63463546	5.273999548	6.849984595	5.511933344	4.290972534	0.632285893	7.825575561	4.637625638	0.422127994	6.514870662	3.279261901
HCC1395	Claudin-low	4.730357221	0.070318199	0.464538261	5.30626157	5.960416804	0.214116495	6.622865788	5.940699777	5.496241829	0.298689796	0.070318199	5.808698756	0.356145768	1.416850603	1.400759777
HCC1419	Luminal	0.09769354	0	0.321939345	4.868862579	5.873691326	7.537809267	5.548232694	5.826419486	4.832984463	6.725974671	7.241367056	5.46094831	10.39193981	7.389548185	5.742768926
HCC1428	Luminal	0.176420011	0	0.263166691	1.952677188	5.220266769	6.167667948	6.288243339	6.686309892	3.463251939	6.164704501	6.112362804	4.327295176	8.596265429	6.55944667	3.961401641
HCC1569	Basal	0	0.09769354	0.263166691	2.518135823	6.274400835	8.030834905	6.465357383	4.151823918	5.086636136	0.443586448	7.525866006	6.870826455	0.356145768	7.24932092	3.220241679
HCC1806	Basal	0.310349431	0.485280842	7.399496181	5.07397236	6.895641147	5.391393317	6.308020949	6.635750885	5.035998918	0.274942543	7.743900978	5.472710894	0	6.862886429	2.147427426
HCC1937	Basal	0.464538261	1.049624638	5.142196282	6.055111107	6.329779816	6.439617157	6.535671168	5.793934115	4.29192785	1.12429832	6.626830324	4.997080235	0.124247556	6.564400363	4.129964712
HCC1954	Basal	0	4.014313063	1.560636642	4.91933232	5.844143626	7.146934803	6.70614113	6.353520877	4.290972534	1.263155619	6.986986019	5.659198882	0.713914301	7.465161805	5.209525926
HCC202	Luminal	4.540298484	3.739732303	3.734126063	5.574732423	5.011671319	5.63463546	5.347345887	5.886498188	5.463888774	5.939714027	6.362424868	5.36691893	6.107426149	7.339813652	5.663129716
HCC3153	Basal	0	0.150616279	4.928072861	5.82248125	6.402994917	6.132111578	7.426357549	5.198787018	4.749702358	0.525942177	7.190667223	6.122236761	0.464538261	7.6264028	6.123224204
HCC38	Claudin-low	0.124247556	0	0	4.916419157	6.06695384	0.333445016	7.081351691	6.417840614	5.575714071	0.525942177	1.627386994	6.42971831	0	1.560636642	0.422127994
HCC70	Basal	0.895199025	6.488131416	0.014351108	6.854946735	6.131124057	6.40200526	6.496053651	5.80180829	5.033079009	3.505655613	6.978048293	6.337693029	0	8.218245053	4.546073307
HS578T	Claudin-low	5.070076409	0	1.459506213	4.564366164	5.322887792	0.028551411	6.825175861	5.117820975	4.99318998	0.555831709	0.389537821	4.004856318	0.298689796	0.274942543	0.378663742
JIMT1	Basal	0	0.124247556	0.731294584	4.241337333	6.405963929	6.149888396	7.82059488	6.676395148	3.743470645	0.321939345	7.392532546	5.957459004	0.669019954	6.027483123	2.179614806
LY2	Luminal	0	0	0.525942177	1.163559091	5.419794675	5.46682936	6.477239042	6.134086644	4.217503528	5.434489627	6.467337592	4.768088321	6.944287061	7.443271577	5.261294827
MCF10A	Normal-like	5.221243305	1.959647695	7.752864355	4.86110279	5.958444928	4.622191081	7.64332796	4.820385308	3.754689728	0.274942543	3.374190165	6.838075992	0.124247556	6.418830384	0.226562273
MCF10F	Normal-like	0.070318199	4.049333717	7.81262593	3.667903484	5.849067598	3.801500542	7.292077255	4.953332084	4.703288903	0.815701466	4.822323411	5.428611273	1.761612904	7.463171715	0.389537821
MCF12A	Normal-like	1.677904279	2.876088018	8.402734818	2.846182598	4.702322502	5.202691851	7.788720117	4.926130383	3.562972891	0.443586448	3.456808527	5.821496717	0	5.924928956	0.298689796
MCF7	Luminal	0	0	0.014351108	4.689761339	6.668463775	6.421799734	6.141987249	6.049190226	4.300527022	8.101603092	8.13150851	5.838235203	6.051163817	6.773584385	5.192930254
MDAMB134VI	Luminal	0	0	0.189018886	5.470750329	5.087610394	5.833311805	6.17557084	6.523784812	4.215597658	7.038633674	7.543781074	5.209525926	4.905739061	7.599523484	4.22894135
MDAMB175VII	Luminal	0.214116495	0	1.195469914	3.734126063	5.974221012	6.888692712	6.451496685	7.350754462	4.023773358	4.990272482	7.118115649	6.350553012	10.71774978	7.788720117	6.957195107
MDAMB231	Claudin-low	0	0	1.545897745	2.827754287	6.230905777	0.454356415	7.519894553	5.760476596	5.563935129	0.903161489	2.107440731	6.079784918	3.455888242	0.422127994	0.356145768
MDAMB361	Luminal	0.124247556	0	4.194641339	4.00201999	6.100515198	6.375287231	5.939714027	6.87678169	3.711716488	6.856931628	8.204286386	5.478592909	9.715502281	6.091630318	6.047216672
MDAMB453	Luminal	0	0	0.565594295	4.40677522	5.542345119	6.407943306	5.78114005	5.762444336	4.425955655	7.05850148	7.109172512	5.759492743	3.39618023	8.28804428	5.570805959
MX1	Basal	0	3.8615667	1.872089186	3.460490172	4.986382746	5.868766067	7.290088429	4.133765069	5.057416514	2.733509836	5.576695731	5.790981477	0	7.77577179	4.930986723
SKBR3	Luminal	0	0	0.226562273	0.622746306	5.63168835	3.206656679	6.780528536	4.889238139	4.088195822	5.94957196	5.659198882	5.746703653	3.26471122	8.712013413	6.999896747
SUM1315MO2	Claudin-low	0	0	0.176420011	2.477571832	5.066180739	0.505764999	7.313955354	4.16513794	6.393098671	0.705081089	0.799200637	4.616404686	0	0.933772731	0.163530747
SUM149PT	Basal	4.43938841	2.862004308	2.833893405	2.700566847	4.869832643	4.069231504	5.701465142	4.852374576	4.684931142	0.495842851	6.119274483	4.967910576	0	7.6264028	3.332129133
