Id	SRR12237911	SRR12237910	SRR12237909	SRR12237908	SRR12237915	SRR12237914	SRR12237913	SRR12237912
ENSG00000000003.13	2651.56	2392.59	1548.68	1788.85	519.03	530.91	1554.9	1297.18
ENSG00000000005.5	0	0	0	0	43	34	0	0
ENSG00000000419.11	4268	3745	3067	2995	3290	3577	2840	3041.88
ENSG00000000457.12	1322.71	1289.04	1091.17	1258.57	1072.74	1041.94	1340.64	1347.76
ENSG00000000460.15	2304.15	2106.15	2500.99	2365.28	2480.21	2334.1	2666.25	2922.53
ENSG00000000938.11	0	0	0	1	11	16	1	0
ENSG00000000971.14	2.00223	4.00393	7.43087	7.19265	0	2.00138	39.0442	110.921
ENSG00000001036.12	14	10	4801.51	4272.95	1896.58	1833.51	5183.15	5469.77
ENSG00000001084.9	5229	4540	6955	6542	2481	2350	3273	3513
ENSG00000001167.13	4526	4284	4766	5367	4314	4176	5971	6331
ENSG00000001460.16	757.727	718.665	604.26	637.908	1180.59	1077.21	2718.75	2711.43
ENSG00000001461.15	3775.64	3325.15	4753.04	4616.56	4384.1	4529.14	12232.7	13746.3
ENSG00000001497.15	5945	5685	5115	5110	4174	4199	3429	3234
ENSG00000001561.6	1875	1694	1173	1122	2283	2316	2005	2417
ENSG00000001617.10	1686	1591	208	238	9046.74	9166	2882	2656
ENSG00000001626.13	5	4	4	7	0	0	0	1
ENSG00000001629.8	5317	4804	6117	6058	6126	5903	4860	5258
ENSG00000001630.14	13613.5	12487.7	19767.8	21112	9233.72	9795.41	7734.93	8739.96
ENSG00000001631.13	4122.96	3803	3784.37	3476.67	4694.98	4816.73	3947.63	3652.51
ENSG00000002016.15	974.204	849	1179.99	1291.3	815.335	805.251	1202.81	1169.46
ENSG00000002079.11	14	6	26.9253	44	142	153	3	5
ENSG00000002330.12	2375	2272	1947	1906	1804	1627	1763	1934
ENSG00000002549.11	7959.15	7135.02	3699.36	3611.63	3827.89	3883.67	2556.83	2538.73
ENSG00000002586.16	2496	2387	2369	2560	7657	7660	146	136
ENSG00000002587.8	448.607	443.107	17.3751	34.629	434.601	412.246	992.363	1167.9
ENSG00000002726.18	431	220	27	27	1	3	9518	7945
ENSG00000002745.11	7	1	11	8	6	3	3	1
ENSG00000002746.13	6.07398	8.10774	6.04443	4.06116	17.1914	17.2025	70.0008	55.8327
ENSG00000002822.14	1841.92	1739.98	1815.26	1876.55	1575.02	1627.49	3243.73	3360.79
ENSG00000002834.16	16990	15665	12102	13383	6408	6252	16249	16119
ENSG00000002919.13	1687	1644	923	879	1472	1488	1612	1655
ENSG00000002933.6	2	5	1	0	11	8	498	468
ENSG00000003056.6	10621.7	9722.38	7006.36	6605.62	9049.47	9372.83	4059.82	4538.69
ENSG00000003096.12	20	16	715	704.279	888.368	917	1528	1726
ENSG00000003137.7	279	215	7	3	780	746	707	877
ENSG00000003147.16	2923	2520	1700	1665	500	486	5567	5505
