Name	ER-ERR1084763	ER-ERR1084764	ER-ERR1084765	ER-ERR1084775	ER-ERR1084805	ER-ERR1084806	ER-ERR1084811	TN-ERR1084766	TN-ERR1084768	TN-ERR1084798	TN-ERR1084799	TN-ERR1084800	TN-ERR1084801	TN-ERR1084802	TN-ERR1084803	TN-ERR1084804	TN-ERR1084807	TN-ERR1084808	TN-ERR1084809	TN-ERR1084810
ENSG00000001461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000002834	5694	6650	6009	8354	5936	15051	8091	974	792	11510	6681	4677	5077	3639	8422	3734	3888	5243	2380	2041
ENSG00000003402	0	0	0	3	0	0	4	0	0	3	0	2	1	0	0	0	2	6	1	0
ENSG00000004534	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	362	329	405	318	504	216	151	119	269	179	1030	234	379	205	915	551	256	347	457	37
ENSG00000005073	0	0	0	0	2	0	2	73	776	4	3	204	0	0	7	1	91	49	19	1
ENSG00000005102	0	0	0	0	1	0	0	14	1	7	45	30	0	0	0	386	16	80	6	2
ENSG00000005421	0	0	1	0	10	35	5	6	9	15	2	13	19	0	18	1	13	0	23	16
ENSG00000005486	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000005801	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000006016	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	4
ENSG00000006432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000006468	4	10	10	0	10	15	11	5	46	4	0	1	0	50	2	148	14	1	98	31
ENSG00000006634	62	60	74	126	204	166	46	71	202	218	161	251	191	95	129	200	220	78	147	12
ENSG00000006756	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000006831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000007866	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007908	0	0	2	0	0	0	0	3	7	5	9	54	32	2	0	1095	2	1	1	0
