OTUs	"SRR6185161"	"SRR6185162"	"SRR6185163"	"SRR6185164"	"SRR6185165"	"SRR6185166"	"SRR6185167"	"SRR6185168"	"SRR6185169"	"SRR6185170"	"SRR6185171"	"SRR6185172"	"SRR6185173"	"SRR6185174"	"SRR6185175"	"SRR6185176"	"SRR6185177"	"SRR6185178"	"SRR6185179"	"SRR6185180"	"SRR6185181"	"SRR6185182"	"SRR6185183"	"SRR6185184"	"SRR6185185"	"SRR6185186"	"SRR6185187"	"SRR6185188"	"SRR6185189"	"SRR6185190"	"SRR6185191"	"SRR6185192"	"SRR6185193"	"SRR6185194"	"SRR6185195"	"SRR6185196"	"SRR6185197"	"SRR6185198"	"SRR6185199"	"SRR6185200"	"SRR6185201"	"SRR6185202"	"SRR6185203"	"SRR6185204"	"SRR6185205"	"SRR6185206"	"SRR6185207"	"SRR6185208"	"SRR6185209"	"SRR6185210"	"SRR6185211"	"SRR6185212"	"SRR6185213"	"SRR6185214"	"SRR6185215"	"SRR6185216"	"SRR6185217"	"SRR6185218"	"SRR6185219"	"SRR6185220"	"SRR6185221"	"SRR6185222"	"SRR6185223"	"SRR6185224"	"SRR6185225"	"SRR6185226"	"SRR6185227"	"SRR6185228"	"SRR6185229"	"SRR6185230"	"SRR6185231"	"SRR6185232"	"SRR6185233"	"SRR6185234"	"SRR6185235"	"SRR6185236"	"SRR6185237"	"SRR6185238"	"SRR6185239"	"SRR6185240"	"SRR6185241"	"SRR6185242"	"SRR6185243"	"SRR6185244"	"SRR6185245"	"SRR6185246"	"SRR6185247"	"SRR6185248"	"SRR6185249"	"SRR6185250"	"SRR6185251"	"SRR6185252"	"SRR6185253"	"SRR6185254"	"SRR6185255"	"SRR6185256"	"SRR6185257"	"SRR6185258"	"SRR6185259"	"SRR6185260"	"SRR6185261"	"SRR6185262"	"SRR6185263"	"SRR6185264"	"SRR6185265"	"SRR6185266"	"SRR6185267"	"SRR6185268"	"SRR6185269"	"SRR6185270"	"SRR6185271"	"SRR6185272"	"SRR6185273"	"SRR6185274"	"SRR6185275"	"SRR6185276"	"SRR6185277"	"SRR6185278"	"SRR6185279"	"SRR6185280"	"SRR6185281"	"SRR6185282"	"SRR6185283"	"SRR6185284"	"SRR6185285"	"SRR6185286"	"SRR6185287"	"SRR6185288"	"SRR6185289"	"SRR6185290"	"SRR6185291"	"SRR6185292"	"SRR6185293"	"SRR6185294"
"OTU_1"	10634	4501	157	774	2729	693	0	262	6030	223	2224	0	0	2491	2503	0	247	0	9720	11684	4	2846	635	0	318	12262	117	3705	11395	0	552	0	0	0	100	1778	3229	107	1259	845	3015	0	4259	2127	510	143	0	0	0	2645	4393	857	1575	2241	2038	2779	324	3395	0	5667	0	3696	258	247	0	1530	1186	2807	3173	0	1680	0	3745	2931	3919	0	3010	100	1288	3046	3285	0	0	1539	0	1401	4026	4767	360	0	0	953	670	523	423	1269	0	3404	5484	4311	4943	0	1256	0	460	6834	0	1257	0	20	661	1868	269	310	1255	6128	2552	0	11745	6013	725	0	5369	4418	5444	207	1317	0	2197	2199	619	0	9550	1263
"OTU_2"	1788	92	77	817	244	108	1285	0	421	2967	35	0	84	1015	36	962	4965	1206	579	1324	0	1491	419	1962	3935	2302	31	2797	0	2198	511	497	0	2582	411	913	149	161	1009	276	2609	266	622	0	39	586	91	0	390	7095	383	4192	1189	2271	801	519	216	860	473	884	3364	4096	84	2442	0	24	259	1772	1188	655	3344	295	1808	72	7	3244	2389	8	47	854	0	1695	3205	2531	1223	980	1088	786	58	0	221	2628	1010	498	805	1256	799	1305	2435	34	48	2926	0	1860	216	476	1369	3123	360	17	190	1886	418	457	762	1369	223	1944	358	289	1607	1032	6070	394	204	113	2328	2079	1416	333	512	990	1265	107
"OTU_3"	288	172	311	0	522	290	0	0	373	0	0	3740	3509	6498	0	0	0	11265	841	0	0	911	0	0	0	1306	44	703	0	0	0	321	0	0	0	5446	1112	0	0	2190	549	27	307	0	0	0	1093	6817	0	10396	0	0	55	618	321	4405	358	0	517	771	0	0	0	0	769	0	0	755	6907	0	5265	5248	0	0	0	0	0	65	217	218	0	0	0	0	0	1097	0	0	0	3768	1065	6527	44	331	275	63	0	2536	0	0	0	3941	0	0	0	877	0	0	1862	0	286	0	1819	2003	153	0	0	695	891	718	50	6644	1286	6614	409	0	0	0	0	0	7128	13	72	633
"OTU_4"	1537	624	70	2761	950	0	2137	231	1621	1289	0	625	966	2667	0	897	0	844	2336	1080	0	0	158	1492	1472	3668	0	332	4275	497	142	197	0	509	0	2057	920	0	2127	1305	338	191	1311	1715	0	432	653	2821	0	951	364	0	219	605	1309	1062	268	4684	442	511	0	1508	0	0	129	97	1002	2127	1499	0	975	2379	882	369	1059	336	251	0	0	0	1265	439	0	1256	0	2059	0	1532	0	317	514	662	304	454	404	481	23	1648	0	365	1112	741	101	137	220	1290	0	1920	207	0	357	130	1979	234	169	264	775	199	1401	690	59	4259	890	4660	870	0	1012	0	1005	125	3223	0	625	271
"OTU_5"	146	254	185	0	390	337	198	11	226	81	805	428	1426	286	222	30	192	480	123	475	1516	1211	2101	477	333	2958	287	1936	147	89	1163	600	2601	260	842	782	1385	109	0	1181	452	0	1001	128	278	141	1912	756	1007	957	1039	395	798	2168	1074	658	1276	0	0	674	511	36	135	680	118	1502	172	369	1949	1024	880	3240	1899	154	2766	188	1168	76	344	1426	14	46	398	1164	1155	1372	47	163	1280	690	1457	673	564	1310	2021	1055	1426	1306	339	585	1694	601	1022	150	140	1417	3171	1311	0	9	1003	436	1080	796	0	1410	2230	1047	675	851	808	0	600	388	562	220	842	55	43	242	523	1383	1253	606
"OTU_6"	97	798	64	1043	620	463	7	37	15	569	391	646	421	0	251	0	911	1283	0	197	0	658	1004	1582	870	143	420	1466	1054	7	724	1181	0	891	313	170	125	55	1801	678	991	974	240	173	579	367	137	549	1196	0	185	863	570	35	574	470	590	3252	1267	585	58	25	233	1082	274	662	614	170	359	380	0	311	2179	62	0	1215	887	82	260	1159	239	10	131	674	713	55	608	152	1670	1729	902	0	870	612	1437	949	746	98	1906	0	178	581	0	584	143	233	54	377	135	0	648	760	426	1191	58	655	578	2137	193	275	744	961	1703	308	186	0	637	779	0	175	10	213	1018	85
"OTU_7"	415	395	26	12	5	513	1587	0	414	187	54	213	5	17	63	1593	165	79	716	1917	659	91	1098	97	610	1801	1178	495	77	2720	63	0	0	537	0	823	428	335	405	0	327	0	220	20	77	95	0	108	263	18	1573	203	538	555	684	19	59	16	30	186	1280	223	48	76	40	174	0	156	3684	443	7	28	614	6	205	1190	906	39	1660	20	0	3681	825	2306	1777	254	0	105	11	80	6	0	148	992	702	897	735	104	19	2045	25	393	270	415	368	245	1064	1646	837	0	80	913	33	48	118	1590	158	196	439	250	1271	0	369	46	129	111	1779	527	1585	63	831	853	1544	1337
"OTU_8"	1130	720	87	0	746	0	0	0	0	0	0	0	0	0	314	198	0	1292	2052	1227	0	1591	1488	963	1535	2330	920	1821	0	823	701	121	0	511	634	886	1458	105	0	955	1054	269	757	0	745	177	309	1151	814	0	987	0	0	0	0	0	0	0	0	0	0	0	0	0	204	1237	960	822	552	0	0	521	646	136	597	0	1447	0	702	0	0	143	0	1149	1257	369	736	1126	1051	757	732	0	389	1412	0	0	0	762	0	0	781	0	0	0	0	1268	0	605	596	15	0	0	0	408	129	623	531	0	2104	1561	875	1407	1493	1874	538	16	0	0	0	0	867	0	918	0
"OTU_9"	533	1030	19	0	564	0	38	48	139	0	16	334	462	0	32	0	0	0	685	207	2108	698	1041	1826	0	412	121	468	118	0	1303	442	4325	2007	2092	1425	0	43	0	170	355	89	538	660	51	0	1389	866	0	0	231	0	1186	942	57	163	43	0	98	97	0	164	1258	0	289	0	0	789	129	0	0	539	149	37	3226	2673	979	0	0	2216	208	0	0	518	0	1234	463	209	0	253	443	0	677	304	0	628	34	617	0	212	459	388	769	330	40	0	0	54	353	7	29	652	416	405	564	598	4424	230	0	24	1274	30	568	439	0	259	192	0	96	240	196	0	856	61
"OTU_10"	0	0	39	0	0	0	0	41	0	940	0	615	76	67	82	0	380	1081	37	42	1081	0	220	0	5620	0	109	0	54	0	303	869	2325	0	237	567	0	338	0	683	208	1366	0	215	0	1686	221	1495	0	232	52	602	0	240	125	388	79	0	483	48	869	0	96	865	695	0	4015	0	59	0	510	339	128	570	2582	45	282	0	355	0	138	0	365	390	0	419	0	36	0	551	124	670	0	664	0	0	291	62	879	35	129	1231	853	0	34	0	1531	49	933	0	535	142	336	382	119	104	721	1590	0	653	381	245	185	594	0	0	159	1002	0	0	87	0	0	1051
